name,directors, box_office 
Avengers: Infinity War,"Anthony Russo,Joe Russo"," $2,052,415,039 "
Spider-Man: No Way Home,Jon Watts," $1,921,847,111 "
Top Gun: Maverick,Joseph Kosinski," $1,488,732,821 "
Harry Potter and the Deathly Hallows: Part 2,David Yates," $1,342,359,942 "
Joker,Todd Phillips," $1,074,458,282 "
Toy Story 3,Lee Unkrich," $1,067,316,101 "
The Lion King,"Roger Allers,Rob Minkoff"," $968,511,805 "
Finding Nemo,"Andrew Stanton,Lee Unkrich(co-director)"," $941,637,960 "
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson," $898,204,420 "
Inside Out,"Pete Docter,Ronnie Del Carmen(co-director)"," $858,848,019 "
